,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
doc_576,,,,,,,,X,,
doc_577,,,,,,,,X,,
doc_578,,,,,,X,,,,
doc_579,X,X,X,X,X,X,X,X,X,X
doc_580,,,,X,,X,,,,
doc_581,,,,,,X,,,,
doc_582,,,,X,,X,,X,,
doc_583,,,,X,,X,,,,
doc_584,,,,X,,X,,,,
doc_585,,,,,,X,,,,
doc_586,X,,,,,X,,X,,
doc_587,,,,,,,,X,,
doc_588,,,,X,,,,X,,
doc_589,,,,,,X,,X,,
doc_590,,,,,,,,X,,
doc_591,,,,X,,X,,X,,
doc_592,,,,,,X,,X,,
doc_593,,,,,,X,,,,
doc_594,,,,X,,X,,,,
doc_595,X,,,X,,X,,,,
doc_596,X,,,,,,,X,,
doc_597,,,,,,X,,,,
doc_598,,,,,,X,,X,,
doc_599,,,,,,X,,,,
doc_600,X,,,X,,X,,,,
doc_601,X,,,X,,,,,,
doc_602,,,,,,X,,,,
doc_603,,,,X,X,,,X,,
doc_604,,,,X,,X,,X,,
doc_605,,,,,,,,X,,
doc_606,,,,,,X,,,,
doc_607,,,,X,,,,X,,
doc_608,,,,,,,,X,,
doc_609,,,,X,,X,,,,
doc_610,,,,,,X,,X,,
doc_611,,,,,,X,,,,
doc_612,X,,,X,,X,,X,,
doc_613,,,,,,,,X,,
doc_614,X,,,,,X,,,,
doc_615,,,,X,,X,,,,
doc_616,,X,,,,X,,,,
doc_617,,,,,,X,,X,,
doc_618,,,,X,,,,X,,
doc_619,,,,,,X,,,,
doc_620,X,,,X,,,,,,
doc_621,,,,X,,,,,,
doc_622,,,,X,,,,,,
doc_623,,,,X,,,,,,
doc_624,,,,X,,,,,,
doc_625,,,,,,X,,,,
doc_626,,,,X,,X,,,,
doc_627,,,,X,,X,,,X,
doc_628,,,,,,,,X,,
doc_629,,,,,,,,X,,
doc_630,,,,X,,,,X,,
doc_631,,,,,,X,,X,,
doc_632,,,,X,,,,,,
doc_633,,,,X,,X,,,,
doc_634,,,,X,,,,,,
doc_635,,,,X,,,,,,
doc_636,,,,X,,X,,,,
doc_637,,,,,,X,,,,
doc_638,,,,X,,,,,,
doc_639,,,,X,,,,,,
doc_640,,,,,,X,,,,
doc_641,X,,,,,X,,,,
doc_642,X,,,,,X,,,,
doc_643,,,,X,,X,,,,
doc_644,X,,,X,,,,,,
doc_645,,,,X,,,,,,
doc_646,,,,X,,X,,,X,
doc_647,,,,,,X,,,X,
doc_648,,,,,,X,,,,
doc_649,,,,,,X,,X,,
doc_650,,,,,,X,,,,
doc_651,,,,X,,X,,,,
doc_652,,,,,,,,X,,
doc_653,X,,,X,,,,,,
doc_654,,,,X,,,,,,
doc_655,X,X,X,X,X,X,X,X,X,X
doc_656,X,,,X,,X,,,,
doc_657,X,,,X,,X,,,,
doc_658,,,,,,X,,,,
doc_659,X,,,X,,,,,,
doc_660,,,,,,X,,X,,
doc_661,,,,X,,,,,,
doc_662,X,X,X,X,X,X,X,X,X,X
doc_663,,,,,,X,,,,
doc_664,,,,X,,X,,,,
doc_665,,,,X,,X,,,,
doc_666,,,,X,,X,,X,X,
doc_667,,,,X,,,,X,,
doc_668,,,X,X,,,,,,
doc_669,,,,X,,X,,X,X,
doc_670,,,,,,X,,,,
doc_671,,,,X,,,,X,,
doc_672,X,,,X,,X,,,,
doc_673,X,,,,,,,X,,
doc_674,,,,X,,,,,,
doc_675,,,,X,,,,,X,
doc_676,,,,,,X,,X,,
doc_677,,,,,,,,X,,
doc_678,,,,,,,,X,,
doc_679,,,,X,,,,X,,
doc_680,,,,X,,,,,,
doc_681,,,,,,X,,,,
doc_682,X,,,X,,,,,,
doc_683,,,,X,,X,,,,
doc_684,,,,X,,,,,,
doc_685,,,,X,,,,X,,
doc_686,,,,,,X,,,,
doc_687,,,,X,,X,,,X,
doc_688,,,,X,,,,,,
doc_689,,,,,,X,,,,
doc_690,,,,X,,,,,,
doc_691,,,,,,X,,,,
doc_692,,,,X,,X,,,X,
doc_693,,,,,,X,,,,
doc_694,,,,X,,,,,,
doc_695,,,,,,,,X,,
doc_696,,,,,,X,,,,
doc_697,,,,,,X,,,,
doc_698,,,,,,X,,,,
doc_699,,,,,,X,,,,
doc_700,,,,,,X,,,,
doc_701,,,,X,,,,,,
doc_702,,,,,,X,,,,
doc_703,,,,,,X,,,,
doc_704,,,,,,X,,,,
doc_705,X,,,X,,,,X,,
doc_706,,,,X,,,,,,
doc_707,X,,,X,,,,,,
doc_708,,,,X,,X,,,,
doc_709,,,,X,,,,,,
doc_710,,,,X,,,,,,
doc_711,,,,,,X,,,,
doc_712,,,,X,,X,,,,
doc_713,,,,X,,X,,,,
doc_714,,,,X,,,,,,
doc_715,,,,X,,X,,X,,
